Document,Service,Category
NT-AI-Engine/TEAM3_DEPENDENCY_FAILURES_SUMMARY.md,email_monitor,general
NT-AI-Engine/archive\deployment-docs\NT_AI_ENGINE_ARCHITECTURE_STATUS.md,email_monitor,architecture
NT-AI-Engine/archive\deployment-docs\MASTER_FINDINGS_AND_DEPLOYMENT_PLAN.md,email_monitor,deployment
NT-AI-Engine/archive\deployment-docs\KNOWLEDGE-GRAPH-SUMMARY.md,email_monitor,deployment
NT-AI-Engine/archive\deployment-docs\KNOWLEDGE-GRAPH-INDEX.md,email_monitor,deployment
NT-AI-Engine/archive\deployment-docs\AUDIT-PROMPT.md,email_monitor,deployment
NT-AI-Engine/archive\deployment-docs\ARCHITECTURE-DIAGRAM.md,email_monitor,architecture
NT-AI-Engine/docs\archive\superseded\TRINITY_AUTOMATION_MASTER_PLAN.md,email_monitor,general
NT-AI-Engine/docs\testing\TESTING_GUIDE.md,email_monitor,guide
NT-AI-Engine/docs\current\ULTIMATE_GITHUB_STRATEGY.md,email_monitor,general
NT-AI-Engine/docs\current\TRINITY_INTELLIGENCE_PLATFORM_PROPOSAL.md,email_monitor,general
NT-AI-Engine/docs\current\COMPREHENSIVE_STRATEGIC_REVIEW.md,email_monitor,general
NT-AI-Engine/tests\integration\TRINITY_INTEGRATION_SUMMARY.md,email_monitor,general
NT-AI-Engine/tests\integration\RUN_TESTS.md,email_monitor,general
NT-AI-Engine/tests\integration\README_TRINITY_INTEGRATION.md,email_monitor,general
NT-AI-Engine/trinity\sops\operational\ops-user-onboarding-sop.md,email_monitor,sop
NT-AI-Engine/tests\TEST_SUITE_SUMMARY.md,email_monitor,general
NT-AI-Engine/logs\MONITOR_SESSION_SUMMARY.md,email_monitor,general
NT-AI-Engine/docs\TEST_COVERAGE_AUDIT_REPORT.md,email_monitor,general
NT-AI-Engine/docs\SCALABILITY_AUDIT_REPORT.md,email_monitor,general
NT-AI-Engine/docs\PROJECT_INDEX.md,email_monitor,general
NT-AI-Engine/docs\performance_audit_report.md,email_monitor,general
NT-AI-Engine/docs\LOGGING_AUDIT_REPORT.md,email_monitor,general
NT-AI-Engine/docs\FLOW_DEPENDENCY_CHAIN_MAP.md,email_monitor,general
NT-AI-Engine/docs\END_TO_END_TEST_AUDIT.md,email_monitor,general
NT-AI-Engine/docs\DOCUMENTATION_CORRECTIONS.md,email_monitor,general
NT-AI-Engine/docs\COMPLETE_PLATFORM_READY.md,email_monitor,general
NT-AI-Engine/docs\COMPLETE_FILE_AUDIT.md,email_monitor,general
NT-AI-Engine/docs\CIRCLEBACK_ENHANCED_STRATEGY.md,email_monitor,general
